Date,Amount
"Jul 31, 2024",53560948.2
"Jul 31, 2024",-20000
"Jul 25, 2024",123115
"Jul 24, 2024",52132
"Jul 22, 2024",-190000
"Jul 15, 2024",68257.88
"Jul 12, 2024",-94445.01
"Jul 11, 2024",-893
"Jun 27, 2024",-19500
"Jun 21, 2024",-9375
"Jun 6, 2024",214285.18
"Jun 4, 2024",-48325
"May 28, 2024",-44096.44
"May 10, 2024",-216669
"May 8, 2024",210625
"May 3, 2024",482296
"Apr 29, 2024",-35000
"Apr 26, 2024",309678.09
"Apr 22, 2024",-76226.65
"Apr 10, 2024",-65000
"Apr 8, 2024",-52652
"Mar 25, 2024",-8125
"Mar 22, 2024",-118125
"Mar 13, 2024",88277
"Mar 1, 2024",74975.15
"Feb 29, 2024",-40145
"Feb 26, 2024",-49691.23
"Feb 22, 2024",-125000
"Feb 14, 2024",40394
"Feb 2, 2024",-106306
"Jan 19, 2024",-15489
"Jan 16, 2024",85157
"Dec 29, 2023",-82899
"Dec 28, 2023",99667.43
"Dec 21, 2023",410
"Dec 18, 2023",-57500
"Dec 13, 2023",129089
"Nov 30, 2023",-305250
"Nov 27, 2023",-24000
"Nov 13, 2023",-28000
"Nov 3, 2023",-37500
"Nov 2, 2023",-12581
"Oct 27, 2023",-1125
"Oct 23, 2023",-49656.54
"Sep 26, 2023",20794
"Sep 20, 2023",-5625
"Sep 18, 2023",-50000
"Sep 12, 2023",124790
"Sep 8, 2023",-57263
"Sep 7, 2023",25489
"Aug 21, 2023",-83370.04
"Aug 17, 2023",51248.65
"Aug 14, 2023",81478
"Jul 25, 2023",-50964
"Jul 5, 2023",-10000
"Jun 30, 2023",-142737
"Jun 28, 2023",-28000
"Jun 21, 2023",-72688
"Jun 16, 2023",-50000
"Jun 14, 2023",30534.9
"Jun 2, 2023",-893
"Jun 1, 2023",-11004
"May 22, 2023",-46875
"May 18, 2023",40153.48
"Apr 24, 2023",-44164.87
"Apr 18, 2023",-15000
"Apr 14, 2023",-75000
"Apr 3, 2023",-25219
"Mar 13, 2023",-440086
"Mar 9, 2023",58992
"Feb 27, 2023",-46875
"Feb 10, 2023",41427.04
"Feb 1, 2023",38361.24
"Jan 27, 2023",-50000
"Jan 19, 2023",16887.24
"Jan 18, 2023",81228.17
"Dec 29, 2022",79146.51
"Dec 28, 2022",8589
"Dec 27, 2022",-4885.8
"Dec 19, 2022",-7031
"Dec 15, 2022",-93750
"Dec 13, 2022",30724.13
"Dec 12, 2022",-55119
"Dec 8, 2022",-50000
"Nov 30, 2022",147281
"Nov 16, 2022",157109.62
"Nov 14, 2022",-1125
"Oct 19, 2022",-15000
"Sep 30, 2022",-75000
"Sep 28, 2022",-6762
"Sep 27, 2022",-8438
"Sep 23, 2022",-77493
"Sep 15, 2022",122112.62
"Sep 6, 2022",-105975.24
"Aug 25, 2022",28300
"Aug 19, 2022",235690.24
"Aug 11, 2022",-75000
"Aug 5, 2022",-49000
"Aug 3, 2022",-10200
"Aug 2, 2022",-100000
"Jul 21, 2022",390351.6
"Jul 12, 2022",-41250
"Jul 11, 2022",-42837
"Jul 7, 2022",-19688
"Jun 28, 2022",77118.83
"Jun 17, 2022",-55037.29
"Jun 3, 2022",-121696
"May 25, 2022",-17940
"May 9, 2022",-571426.39
"May 5, 2022",-81822
"Apr 21, 2022",159052.82
"Apr 14, 2022",85823.39
"Apr 4, 2022",-194557
"Mar 31, 2022",14291
"Mar 23, 2022",-100417
"Mar 21, 2022",-356121
"Mar 11, 2022",173070.16
"Mar 7, 2022",-23857
"Feb 28, 2022",590197.5
"Feb 24, 2022",-115173
"Feb 22, 2022",-50000
"Feb 3, 2022",13460
"Feb 1, 2022",68937.65
"Jan 31, 2022",-18480.22
"Jan 20, 2022",29716
"Jan 18, 2022",-87500
"Jan 13, 2022",-250000
"Jan 10, 2022",-35020
"Jan 7, 2022",499605
"Dec 31, 2021",81572
"Dec 30, 2021",66889
"Dec 28, 2021",120939.58
"Dec 23, 2021",117932
"Dec 16, 2021",46208.55
"Dec 15, 2021",84301
"Dec 9, 2021",-500299.55
"Dec 6, 2021",-100000
"Nov 30, 2021",238992
"Nov 29, 2021",-48750
"Nov 24, 2021",-203580
"Nov 17, 2021",31384.88
"Nov 11, 2021",119329.15
"Nov 5, 2021",209516.15
"Oct 29, 2021",-242581
"Oct 13, 2021",418423.8905
"Oct 1, 2021",59373
"Sep 29, 2021",-69091.94
"Sep 28, 2021",-128125
"Sep 23, 2021",84995.52
"Sep 10, 2021",135952
"Aug 30, 2021",418561.173
"Aug 27, 2021",86972.16
"Aug 20, 2021",-228067
"Aug 13, 2021",67379.305
"Aug 10, 2021",207447.9
"Aug 2, 2021",-39375
"Jul 29, 2021",-122500
"Jul 26, 2021",171062
"Jul 19, 2021",26988.04
"Jul 12, 2021",84577
"Jul 6, 2021",130375.88
"Jul 2, 2021",-750000
"Jul 1, 2021",-87500
"Jun 25, 2021",-5523
"Jun 24, 2021",-28125
"Jun 23, 2021",68866.31
"Jun 18, 2021",-55833
"Jun 9, 2021",217443.13
"Jun 7, 2021",-180467
"Jun 4, 2021",-22500
"Jun 2, 2021",164816
"May 28, 2021",150203
"May 25, 2021",-9000
"May 24, 2021",297806.04
"May 20, 2021",173910.88
"May 14, 2021",78626
"May 13, 2021",112878
"May 11, 2021",-39876
"May 10, 2021",-750000
"May 5, 2021",170000
"May 4, 2021",87816.35
"Apr 30, 2021",-50000
"Apr 22, 2021",-8972
"Apr 13, 2021",-44096
"Apr 12, 2021",-125000
"Apr 9, 2021",108159.27
"Apr 8, 2021",755120
"Apr 5, 2021",507929.1
"Apr 1, 2021",-77500
"Mar 30, 2021",-12419
"Mar 26, 2021",740563.23
"Mar 19, 2021",-66667
"Mar 16, 2021",-286893
"Mar 15, 2021",122984.07
"Mar 11, 2021",86293
"Feb 26, 2021",173783.75
"Feb 16, 2021",245182.6
"Feb 15, 2021",-82500
"Feb 5, 2021",631791.92
"Feb 2, 2021",-87500
"Jan 25, 2021",-20367
"Jan 22, 2021",199558.28
"Jan 21, 2021",-72500
"Jan 20, 2021",491605
"Jan 11, 2021",146058
"Jan 5, 2021",-97438
"Dec 28, 2020",130128.8
"Dec 23, 2020",121855
"Dec 18, 2020",17037
"Dec 8, 2020",293650.1
"Dec 4, 2020",-280000
"Dec 2, 2020",-18000
"Nov 30, 2020",83389.5
"Nov 18, 2020",-124560
"Nov 17, 2020",-125000
"Nov 12, 2020",-67500
"Nov 10, 2020",77850.79
"Nov 6, 2020",-89285.75
"Oct 27, 2020",-56250
"Oct 21, 2020",74144.59
"Oct 14, 2020",-875
"Oct 7, 2020",-87500
"Oct 2, 2020",-27500
"Oct 1, 2020",58249.11
"Sep 28, 2020",773285
"Sep 17, 2020",345607
"Aug 28, 2020",-12500
"Aug 21, 2020",-33333
"Aug 18, 2020",-45000
"Aug 11, 2020",-155420
"Aug 10, 2020",70950
"Aug 6, 2020",174216.9
"Jul 28, 2020",-105000
"Jul 27, 2020",144104
"Jul 21, 2020",-87500
"Jul 17, 2020",-1500
"Jul 3, 2020",174543.02
"Jun 30, 2020",48850.78
"Jun 23, 2020",-63750
"Jun 22, 2020",370612
"Jun 16, 2020",324834.66
"Jun 8, 2020",-104200
"May 26, 2020",-93334
"May 22, 2020",25699
"May 18, 2020",-33333
"May 11, 2020",-5000
"May 8, 2020",-125000
"Apr 29, 2020",17845
"Apr 24, 2020",243720.07
"Apr 16, 2020",-94461
"Apr 6, 2020",-18157
"Mar 31, 2020",-15000
"Mar 19, 2020",-36809
"Mar 17, 2020",-52500
"Mar 9, 2020",-17108
"Mar 5, 2020",2192
"Mar 3, 2020",-56250
"Feb 19, 2020",81396
"Feb 14, 2020",-150000
